,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,20-004,2006,3.2,2,9,3,33.3,2.81,0.94,0.22,0.67,17.7,0,0,0,2.2,2.2,0.25,-0.2,-0.2,Matches
2,Abdel Abqar,ma MAR,DF,Getafe,26-312,1999,7.7,0,6,1,16.7,0.78,0.13,0.00,0.00,13.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
3,Akor Adams,ng NGA,FW,Sevilla,25-352,2000,9.5,3,28,13,46.4,2.96,1.37,0.11,0.23,15.1,0,0,0,3.9,3.9,0.14,-0.9,-0.9,Matches
4,David Affengruber,at AUT,DF,Elche,24-303,2001,16.3,0,5,1,20.0,0.31,0.06,0.00,0.00,11.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
5,Julen Agirrezabala,es ESP,GK,Valencia,25-021,2000,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Lucien Agoume,fr FRA,MF,Sevilla,23-341,2002,13.6,1,8,2,25.0,0.59,0.15,0.13,0.50,17.9,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
7,Marc Aguado,es ESP,MF,Elche,25-328,2000,13.7,0,1,0,0.0,0.07,0.00,0.00,,17.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
8,Pablo Agudín,es ESP,"MF,FW",Oviedo,18-069,2007,0.8,0,2,0,0.0,2.57,0.00,0.00,,24.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
9,Lucas Ahijado,es ESP,DF,Oviedo,30-351,1995,7.6,0,7,2,28.6,0.92,0.26,0.00,0.00,18.3,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
10,Joseph Aidoo,gh GHA,DF,Celta Vigo,30-109,1995,2.2,0,2,0,0.0,0.91,0.00,0.00,,8.2,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
11,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,21-275,2004,2.1,0,6,2,33.3,2.87,0.96,0.00,0.00,19.1,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
12,David Alaba,at AUT,DF,Real Madrid,33-206,1992,0.6,0,1,1,100.0,1.58,1.58,0.00,0.00,31.9,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
13,Alexandre Alemão,br BRA,FW,Rayo Vallecano,27-290,1998,6.2,1,13,6,46.2,2.10,0.97,0.08,0.17,14.1,0,0,0,1.6,1.6,0.13,-0.6,-0.6,Matches
14,Carles Aleñá,es ESP,"MF,FW",Alavés,28-011,1998,11.7,0,16,3,18.8,1.36,0.26,0.00,0.00,19.2,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,27-101,1998,4.4,0,3,0,0.0,0.69,0.00,0.00,,29.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
16,Alfon,es ESP,"FW,DF",Sevilla,26-257,1999,3.5,1,11,7,63.6,3.17,2.02,0.09,0.14,19.5,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
17,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,24-265,2001,4.8,2,10,6,60.0,2.08,1.25,0.20,0.33,15.9,0,0,0,2.3,2.3,0.23,-0.3,-0.3,Matches
18,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,25-231,2000,8.8,0,8,2,25.0,0.91,0.23,0.00,0.00,21.7,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
19,Marcos Alonso,es ESP,DF,Celta Vigo,35-019,1990,14.9,1,9,1,11.1,0.60,0.07,0.00,0.00,19.7,2,1,1,1.2,0.4,0.05,-0.2,-0.4,Matches
20,Adrià Altimira,es ESP,DF,Villarreal,24-294,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Sergi Altimira,es ESP,MF,Real Betis,24-144,2001,6.3,1,2,1,50.0,0.32,0.16,0.50,1.00,18.5,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches
22,Carlos Álvarez,es ESP,MF,Levante,22-163,2003,14.3,3,19,8,42.1,1.33,0.56,0.16,0.38,20.5,3,0,0,1.6,1.6,0.08,+1.4,+1.4,Matches
23,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,22-198,2003,4.6,2,3,2,66.7,0.66,0.44,0.67,1.00,17.4,0,0,0,0.1,0.1,0.05,+1.9,+1.9,Matches
24,Julián Álvarez,ar ARG,FW,Atlético Madrid,25-350,2000,15.2,7,34,16,47.1,2.23,1.05,0.15,0.31,20.0,5,2,3,6.4,4.0,0.12,+0.6,+1.0,Matches
25,Sofyan Amrabat,ma MAR,MF,Real Betis,29-148,1996,6.7,0,4,1,25.0,0.60,0.15,0.00,0.00,26.7,0,0,0,0.1,0.1,0.03,-0.1,,
6,Miguel Ángel Rubio,es ESP,DF,Espanyol,27-311,1998,1.5,1,1,1,100.0,0.65,0.65,1.00,1.00,4.5,0,0,0,0.7,0.7,0.65,+0.3,+0.3,Matches
27,Miguel Ángel Sierra,es ESP,"FW,MF",Sevilla,21-186,2004,0.4,0,2,1,50.0,5.29,2.65,0.00,0.00,18.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
28,Antoniu,es ESP,"FW,MF",Espanyol,23-133,2002,1.0,0,3,0,0.0,3.14,0.00,0.00,,19.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
29,Antony,br BRA,FW,Real Betis,25-326,2000,13.0,5,45,18,40.0,3.45,1.38,0.11,0.28,19.8,0,0,0,4.2,4.2,0.09,+0.8,+0.8,Matches
30,Mauro Arambarri,uy URU,MF,Getafe,30-108,1995,18.6,3,35,10,28.6,1.88,0.54,0.09,0.30,15.2,1,0,0,2.7,2.7,0.08,+0.3,+0.3,Matches
31,Jon Aramburu,ve VEN,DF,Real Sociedad,23-177,2002,16.0,1,15,5,33.3,0.94,0.31,0.07,0.20,17.6,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Matches
32,Juan Arango,ve VEN,FW,Girona,19-229,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
33,Ronald Araújo,uy URU,DF,Barcelona,26-315,1999,7.2,2,6,4,66.7,0.83,0.55,0.33,0.50,19.4,0,0,0,0.4,0.4,0.06,+1.6,+1.6,Matches
34,Jesús Areso,es ESP,DF,Athletic Club,26-198,1999,11.1,0,1,0,0.0,0.09,0.00,0.00,,19.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
35,Iñigo Arguibide,es ESP,DF,Osasuna,20-272,2005,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Kervin Arriaga,hn HON,MF,Levante,28-011,1998,10.8,1,6,3,50.0,0.55,0.28,0.17,0.33,26.5,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
37,Takuma Asano,jp JPN,FW,Mallorca,31-067,1994,4.5,1,9,1,11.1,2.02,0.22,0.11,1.00,12.4,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches
38,Raúl Asencio,es ESP,DF,Real Madrid,22-337,2003,9.5,1,9,2,22.2,0.95,0.21,0.11,0.50,15.6,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
39,Iago Aspas,es ESP,"FW,MF",Celta Vigo,38-168,1987,8.1,2,15,7,46.7,1.86,0.87,0.07,0.14,21.6,0,1,1,2.7,1.9,0.13,-0.7,-0.9,Matches
40,Yaser Asprilla,co COL,"FW,MF",Girona,22-058,2003,6.6,0,15,5,33.3,2.28,0.76,0.00,0.00,23.1,1,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
41,Lander Astiazaran,es ESP,MF,Real Sociedad,19-284,2006,0.0,0,1,0,0.0,90.00,0.00,0.00,,26.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
42,Ezequiel Ávila,ar ARG,"FW,MF",Real Betis,31-344,1994,0.7,0,1,0,0.0,1.48,0.00,0.00,,13.0,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches
43,César Azpilicueta,es ESP,DF,Sevilla,36-141,1989,7.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Alex Baena,es ESP,"MF,FW",Atlético Madrid,24-180,2001,6.8,2,11,5,45.5,1.62,0.74,0.18,0.40,19.9,0,0,0,1.2,1.2,0.11,+0.8,+0.8,Matches
45,Eric Bailly,ci CIV,DF,Oviedo,31-279,1994,4.6,0,2,0,0.0,0.44,0.00,0.00,,11.8,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
46,Cédric Bakambu,cd COD,FW,Real Betis,34-280,1991,0.8,1,4,2,50.0,5.07,2.54,0.25,0.50,12.8,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
47,Alejandro Balde,es ESP,DF,Barcelona,22-090,2003,12.5,0,7,1,14.3,0.56,0.08,0.00,0.00,20.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
48,Iván Balliu,al ALB,DF,Rayo Vallecano,34-015,1992,2.8,0,2,0,0.0,0.71,0.00,0.00,,18.9,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
49,Roony Bardghji,se SWE,FW,Barcelona,20-062,2005,2.7,1,12,8,66.7,4.37,2.91,0.08,0.13,18.9,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
50,Kike Barja,es ESP,"FW,MF",Osasuna,28-290,1997,2.1,0,1,0,0.0,0.48,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
1,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,24-020,2001,11.4,3,21,7,33.3,1.83,0.61,0.14,0.43,19.1,1,0,0,1.9,1.9,0.09,+1.1,+1.1,Matches
52,Pablo Barrios,es ESP,MF,Atlético Madrid,22-215,2003,15.0,1,17,5,29.4,1.14,0.33,0.06,0.20,22.9,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
53,Marc Bartra,es ESP,DF,Real Betis,35-001,1991,14.1,1,6,4,66.7,0.43,0.28,0.17,0.25,23.8,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
54,Augusto Batalla,ar ARG,GK,Rayo Vallecano,29-261,1996,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Samu Becerra,es ESP,"DF,MF",Rayo Vallecano,20-015,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Sheraldo Becker,sr SUR,"MF,FW",Osasuna,30-341,1995,1.8,0,3,0,0.0,1.71,0.00,0.00,,16.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
57,Donny van de Beek,nl NED,MF,Girona,28-273,1997,0.5,0,2,1,50.0,4.39,2.20,0.00,0.00,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
58,Ismael Bekhoucha,ma MAR,DF,Getafe,21-057,2004,1.4,0,1,0,0.0,0.74,0.00,0.00,,30.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
59,Héctor Bellerín,es ESP,DF,Real Betis,30-303,1995,12.0,0,3,3,100.0,0.25,0.25,0.00,0.00,12.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
60,Jude Bellingham,eng ENG,MF,Real Madrid,22-201,2003,12.2,4,31,17,54.8,2.53,1.39,0.13,0.24,14.6,0,0,0,4.5,4.5,0.15,-0.5,-0.5,Matches
61,Fran Beltrán,es ESP,MF,Celta Vigo,26-347,1999,5.9,0,6,1,16.7,1.02,0.17,0.00,0.00,21.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
62,Lucas Beltrán,ar ARG,FW,Valencia,24-293,2001,7.6,1,20,7,35.0,2.65,0.93,0.05,0.14,14.8,0,0,0,1.9,1.9,0.09,-0.9,-0.9,Matches
63,Carlos Benavídez,uy URU,"MF,DF",Alavés,27-292,1998,0.9,0,1,1,100.0,1.17,1.17,0.00,0.00,15.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
64,Iker Benito,es ESP,"DF,FW",Osasuna,23-159,2002,1.7,1,2,1,50.0,1.20,0.60,0.50,1.00,25.1,0,0,0,0.6,0.6,0.30,+0.4,+0.4,Matches
65,Yuri Berchiche,es ESP,DF,Athletic Club,35-340,1990,15.1,0,10,1,10.0,0.66,0.07,0.00,0.00,25.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
66,Álex Berenguer,es ESP,"FW,MF",Athletic Club,30-196,1995,13.6,2,24,14,58.3,1.76,1.03,0.08,0.14,15.7,0,0,0,2.7,2.7,0.11,-0.7,-0.7,Matches
67,Lucas Bergström,fi FIN,GK,Mallorca,23-133,2002,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
68,Marc Bernal,es ESP,MF,Barcelona,18-235,2007,1.4,0,1,0,0.0,0.71,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
69,Pedro Bigas,es ESP,DF,Elche,35-123,1990,13.5,0,5,1,20.0,0.37,0.07,0.00,0.00,15.0,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
70,Antonio Blanco,es ESP,MF,Alavés,25-177,2000,16.4,0,17,5,29.4,1.04,0.31,0.00,0.00,29.7,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
71,Daley Blind,nl NED,DF,Girona,35-313,1990,15.6,0,1,0,0.0,0.06,0.00,0.00,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
72,Adam Boayar,ma MAR,"MF,FW",Elche,20-095,2005,0.6,0,1,0,0.0,1.76,0.00,0.00,,13.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
73,Adama Boiro,es ESP,DF,Athletic Club,23-208,2002,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,Rahim Bonkano,ne NIG,DF,Oviedo,24-015,2002,14.7,0,1,0,0.0,0.07,0.00,0.00,,36.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
75,Thiago Borbas,uy URU,FW,Oviedo,23-284,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
76,Lucas Boyé,ar ARG,"FW,MF",Alavés,29-322,1996,10.6,4,29,9,31.0,2.73,0.85,0.10,0.33,15.3,2,1,1,3.2,2.4,0.08,+0.8,+0.6,Matches
77,Enzo Boyomo,cm CMR,DF,Osasuna,24-101,2001,15.7,1,2,1,50.0,0.13,0.06,0.50,1.00,9.2,0,0,0,0.3,0.3,0.17,+0.7,+0.7,Matches
